»Ìslo;N·zev;VoliËi v seznamu;VydanÈ ob·lky;VolebnÌ ˙Ëast v %;OdevzdanÈ ob·lky;PlatnÈ hlasy; % platn˝ch hlas˘;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;»esk· strana n·rodnÏ soci·lnÌ;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
552372;Medlov;1†271;696;54,76;696;690;99,14;41;6;0;50;2;18;85;7;2;12;3;1;49;0;20;239;0;1;71;0;1;3;3;75;1
568911;MÏrotÌn;216;131;60,65;131;130;99,24;1;0;0;12;0;8;14;1;0;2;1;0;8;0;2;27;0;0;47;0;0;0;0;7;0
500160;MÏsto Libav·;537;258;48,04;258;254;98,45;4;2;0;16;1;5;42;1;2;4;2;0;11;0;3;90;0;0;17;0;1;1;0;51;1
504246;MladeË;628;313;49,84;313;311;99,36;32;0;0;18;0;11;42;0;2;1;1;0;26;0;4;98;0;0;34;0;2;6;2;32;0
552348;MladÏjovice;557;327;58,71;327;327;100,00;30;1;0;15;1;13;38;3;3;2;0;0;33;0;2;114;0;1;12;0;0;0;1;57;1
597678;Moravsk˝ Beroun;2†448;1†208;49,35;1†208;1†202;99,50;76;1;0;80;1;21;204;7;8;6;3;3;77;0;16;475;3;1;32;0;4;1;1;179;3
554944;Mrsklesy;557;345;61,94;345;342;99,13;24;1;1;28;0;11;30;3;3;8;2;0;27;0;16;120;0;0;21;0;1;1;0;41;4
547093;Mutkov;41;22;53,66;22;21;95,45;0;0;0;3;1;0;1;2;0;0;0;0;1;0;1;8;0;0;0;0;0;0;0;4;0
504441;N·klo;1†177;746;63,38;746;743;99,60;29;0;1;62;2;120;76;4;6;7;0;0;52;0;11;220;0;2;62;0;4;1;0;84;0
504505;N·mÏöù na HanÈ;1†651;1†014;61,42;1†014;1†006;99,21;93;0;5;78;1;59;79;6;9;9;0;1;96;0;34;317;0;4;85;0;8;4;3;111;4
